method,leaf,actual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
new_aid,34,52.48,54,48,58,49,55,50,47,45,55,45,54,43,48,48,53,50,58,55,43,35
new_aid,35,53.08,50,43,55,49,50,50,48,45,48,54,35,35,52,50,48,57,51,38,40,70
new_aid,36,54.7,55,50,44,50,60,55,43,55,55,45,57,54,53,55,53,53,54,56,48,55
new_aid,37,54.82,55,58,50,48,52,50,52,45,65,50,48,45,51,50,60,62,58,50,66,60
new_aid,38,55.54,66,58,65,60,65,60,53,56,60,61,59,75,66,65,59,75,76,69,63,60
new_aid,39,58.15,60,69,64,60,63,67,56,57,50,53,60,50,46,65,58,73,72,74,48,70
new_aid,40,59.32,68,66,52,50,62,62,60,66,50,57,43,63,73,57,60,65,56,68,65,70
new_aid,41,62.74,75,62,72,62,68,67,78,63,70,65,60,79,66,70,61,73,62,75,47,70
new_aid,42,62.75,57,58,72,65,65,63,69,65,65,62,70,59,63,54,65,60,58,64,55,64
new_aid,43,66,67,56,68,50,69,56,62,55,60,56,59,53,75,51,65,62,73,50,45,70
new_aid,44,66.15,55,65,72,65,65,68,76,68,65,61,76,67,79,63,71,65,74,73,68,75
new_aid,45,70.35,66,80,72,66,66,65,65,65,65,65,64,67,75,69,70,75,59,80,57,60
new_aid,46,71.26,70,72,67,69,74,70,72,70,70,71,70,69,84,64,75,70,77,70,70,70
new_aid,47,78.35,80,78,70,70,78,67,75,70,70,74,68,57,72,81,65,72,81,84,63,75
new_aid,48,78.4,63,67,84,75,75,79,78,73,80,75,67,83,78,66,72,75,84,84,84,75
new_aid,49,80.21,83,74,84,84,72,84,74,82,80,79,80,79,84,80,83,84,70,84,80,80
new_aid,50,84,78,84,84,83,81,84,84,84,83,75,82,84,84,83,84,84,84,76,74,84
